"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 22 22:39:27 IDT 2020","Thu Oct 22 22:39:29 IDT 2020","1548","Suite","Api Tests","SanityTests.grafanaApi","SanityTests.grafanaApi","test01_getTeam","Test01: Get team from Grafana","Test Description: Login to Grafana and Get Team"
"broken","Tue Oct 27 14:51:05 IST 2020","Tue Oct 27 14:51:05 IST 2020","3","Default Suite","AutomationProject","screenShot.visualTesting","screenShot.visualTesting","startSession","startSession",""
"skipped","Thu Oct 22 22:06:43 IDT 2020","Thu Oct 22 22:06:43 IDT 2020","0","Default Suite","AutomationProject","SanityTests.grafanaApi","SanityTests.grafanaApi","test03_update","Test 03: update Team and verify ","Update team to Grafana and verify it"
"passed","Thu Oct 22 22:39:29 IDT 2020","Thu Oct 22 22:39:29 IDT 2020","173","Suite","Api Tests","SanityTests.grafanaApi","SanityTests.grafanaApi","test04_update","Test 04: Delete Team and verify","Delete team from Grafana and verify it"
"passed","Thu Nov 05 20:13:25 IST 2020","Thu Nov 05 20:13:26 IST 2020","713","Suite","Web Tests","SanityTests.sauceDemoWeb","SanityTests.sauceDemoWeb","test04","Test04: Verify product's page robot","Test Description: Verify product's page robot "
"skipped","Thu Oct 22 22:06:43 IDT 2020","Thu Oct 22 22:06:43 IDT 2020","0","Default Suite","AutomationProject","SanityTests.grafanaApi","SanityTests.grafanaApi","test02_addTeamAndVerify","Test 02: Add team and verify","Add team to Grafana and verify it"
"skipped","Thu Oct 22 22:00:21 IDT 2020","Thu Oct 22 22:00:21 IDT 2020","0","Suite","WebDB Tests","SanityTests.sauceDemoWeb","SanityTests.sauceDemoWeb","test03","Test03: Add all products","Test Description: Add all products to the cart and verifies number of products in the cart (6)"
"passed","Thu Oct 22 22:39:29 IDT 2020","Thu Oct 22 22:39:29 IDT 2020","233","Suite","Api Tests","SanityTests.grafanaApi","SanityTests.grafanaApi","test03_update","Test 03: update Team and verify ","Update team to Grafana and verify it"
"skipped","Thu Oct 22 22:06:43 IDT 2020","Thu Oct 22 22:06:43 IDT 2020","1","Default Suite","AutomationProject","SanityTests.grafanaApi","SanityTests.grafanaApi","test04_update","Test 04: Delete Team and verify","Delete team from Grafana and verify it"
"broken","Thu Oct 22 22:06:42 IDT 2020","Thu Oct 22 22:06:42 IDT 2020","2","Default Suite","AutomationProject","SanityTests.grafanaApi","SanityTests.grafanaApi","startSession","startSession",""
